CompanyID,CompanyName
1,個中人有限公司
2,IO
3,杰威爾音樂
4,蘇打綠有限公司
5,好言娛樂
6,SHANGHAI RANYI MUSIC
7,認可音樂
8,華風數位
9,海口味有限公司
10,添翼創越工作室
11,北京華納
12,AOA Entertainment Lab
13,草字頭
14,YG Entertainment
15,DECCA
16,聖誕系列
17,Big Hit Entertainment
18,DG
19,麟鑫
20,三川娛樂
21,JYP Entertainment
22,SMILE-UP
23,Pledis Entertainment
24,S.M. Entertainment
25,Cube Entertainment
26,STARSHIP Entertainment
27,華研國際
28,火氣音樂
29,啟明出版
30,相信音樂
31,禾廣
32,SONY MUSIC
33,滾石
34,福茂
35,好有感覺音樂
36,空氣腦
37,老頭音樂
38,風潮
39,亞神唱片
40,顏社企業有限公司
41,何樂音樂
42,環球
43,擎天
44,華納
45,音橋
46,夕陽音樂
47,琥山音樂
48,avex
49,極光
50,種子音樂
51,伊弗龐金
52,小白兔
53,龍德代理
54,放飛音樂
55,群石
56,響韻
57,聯成娛樂
58,商客優國際有限公司
59,親愛的音樂
60,子皿有限公司
61,韓國進口版
62,豪記
63,華特
64,時代創藝
65,美樂帝
66,陳明章音樂
67,日版進口
68,韓國進口週邊
